New Registrations by Cardholder Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,2014,,,2013,,,2012,,,2011,,,2010,,
ID,Branch Name,Tier,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult
FV,Fairview,DL,1407,383,841,5120,1320,398,969,5564,986,409,977,3684,947,322,100,4436,986,288,4518,1100,315,4153,6,3,17,736,243,3085,1094,346,4232,1164,320,4660
FP,Flemingdon Park,NL,309,68,58,769,306,61,69,696,280,75,71,565,368,75,9,613,398,61,599,315,56,631,499,178,722,454,206,722,455,145,834,520,85,869
FH,Forest Hill,NL,228,84,57,722,257,74,65,698,274,73,61,543,192,76,9,589,318,100,586,235,72,665,202,57,631,230,67,625,289,67,654,339,79,872
FO,Fort York,NL,295,20,402,4052,291,24,444,3338,330,20,407,2904,212,18,124,3131,254,25,3453,419,33,3199,,,,,,,,,,,,
GE,Gerrard Ashdale,NL,224,23,40,545,209,27,50,488,198,55,56,426,162,11,8,453,124,8,379,159,16,404,155,10,374,153,18,357,178,29,438,172,18,429
GHP,Goldhawk Park,NL,201,28,97,525,256,35,70,581,284,27,64,481,325,22,9,462,237,40,500,271,24,567,256,30,532,257,37,507,264,46,592,281,47,699
GW,Guildwood,NL,75,16,22,229,115,29,29,304,97,22,24,205,97,28,9,223,124,18,247,120,20,263,86,19,231,77,23,280,120,34,292,114,44,356
HP,High Park,NL,322,49,105,1398,270,27,77,1151,261,49,92,883,215,18,16,1026,218,37,945,216,27,981,232,21,905,180,12,761,238,30,984,279,27,919
HC,Highland Creek,NL,238,44,190,644,197,42,149,628,198,34,106,419,167,24,19,435,208,33,461,253,49,494,224,66,495,210,42,510,230,55,588,240,65,643
HIL,Hillcrest,NL,165,68,78,669,212,60,73,712,222,55,63,598,163,41,9,564,173,52,538,190,61,661,335,79,936,209,89,617,231,75,621,235,92,615
HB,Humber Bay,NL,194,16,32,684,115,23,27,618,142,21,36,456,163,23,6,499,162,11,379,184,30,400,140,78,416,150,24,443,141,96,448,116,26,392
HS,Humber Summit,NL,170,31,80,404,252,36,37,465,109,10,34,136,214,15,4,216,138,57,262,161,25,307,304,79,360,174,83,347,184,24,350,206,41,334
HW,Humberwood,NL,240,21,55,353,203,12,127,338,203,18,68,276,246,52,11,302,199,6,305,157,20,291,150,13,319,202,13,270,183,20,332,268,26,402
JD,Jane Dundas,NL,353,144,134,1124,376,121,145,1030,363,80,154,762,326,46,22,817,289,56,857,384,137,967,394,1050,1117,446,359,947,477,652,1104,408,267,1112
JS,Jane Sheppard,NL,286,77,235,1183,279,51,158,782,310,50,101,660,271,46,21,704,311,56,698,346,81,672,530,72,728,268,68,698,358,71,790,359,90,824
JO,Jones,NL,210,23,43,620,206,25,56,620,164,16,51,443,217,21,11,544,199,13,447,190,24,466,177,14,442,120,9,406,203,15,465,178,30,451
KE,Kennedy Eglinton,NL,387,79,118,984,374,93,109,916,599,95,94,759,403,66,24,844,480,84,827,401,83,839,500,116,923,379,58,993,448,89,1086,548,133,1215
LE,Leaside,NL,373,50,51,1056,389,52,50,1020,344,35,63,832,320,30,5,830,339,28,768,324,53,770,287,36,780,271,51,743,380,33,794,332,57,840
LHS,Lillian H. Smith,DL,170,61,1089,2042,194,127,956,2278,268,106,944,1880,277,128,214,2603,218,93,2908,254,117,2872,219,110,2925,235,96,2863,259,69,3009,297,56,3000
LO,Locke,NL,483,94,151,1429,484,99,169,1359,464,75,153,1157,358,69,28,1048,394,78,1054,396,81,1100,461,90,996,439,80,1078,601,91,1178,590,102,1289
LB,Long Branch,NL,144,7,55,693,176,12,48,672,137,9,51,382,143,17,19,584,135,8,520,222,22,539,144,22,494,99,18,535,143,22,504,136,21,603
MA,Main Street,NL,258,41,54,849,272,31,64,827,256,29,55,659,230,32,16,682,219,37,638,185,34,633,241,33,562,233,33,600,323,37,676,377,52,757
MAL,Malvern,DL,864,225,367,1876,845,181,410,1958,610,184,317,1405,690,152,52,1510,674,154,1391,808,175,1745,878,189,1594,798,214,1522,1005,250,1881,1025,285,2257
MAS,Maria A. Shchuka,DL,270,126,146,1277,334,90,153,1296,329,93,237,940,313,220,48,1237,393,81,1316,413,134,1247,398,238,1155,404,112,1290,544,128,1387,550,104,1403
MRV,Maryvale,NL,234,210,130,931,306,87,122,1023,185,74,125,774,231,74,23,938,216,55,910,265,55,829,202,50,850,176,66,752,261,60,864,257,73,887
MCG,McGregor Park,NL,412,101,145,1022,386,112,136,908,442,116,130,680,388,99,18,754,446,74,767,428,88,835,434,85,827,473,67,781,541,191,1022,621,464,1356
MI,Mimico Centennial,NL,164,31,43,891,206,20,33,797,182,25,64,683,168,47,14,669,158,33,655,217,22,595,193,33,590,171,25,638,293,30,695,230,41,734
MS,Morningside,NL,347,89,133,959,371,85,121,996,282,51,89,637,358,92,33,685,284,50,671,347,99,706,304,70,664,318,96,732,327,95,765,436,127,1085
MD,Mount Dennis,NL,260,73,106,588,250,73,71,518,250,30,62,479,254,39,16,495,190,47,491,259,48,491,443,56,496,0,0,3,187,33,358,267,41,534
MP,Mount Pleasant,NL,131,25,27,593,164,16,41,616,135,15,33,406,138,14,7,497,106,33,407,103,10,443,156,18,417,100,17,393,130,21,424,155,22,568
NT,New Toronto,NL,155,36,54,543,104,16,48,465,174,13,67,343,128,12,8,476,94,16,407,110,18,399,148,17,403,126,17,440,155,33,501,139,21,485
ND,Northern District,DL,384,161,387,3186,515,123,495,3031,344,113,480,2447,339,143,72,2496,288,74,2104,232,83,2238,308,99,2258,286,102,2367,350,135,2476,128,37,1274
NE,Northern Elms,NL,94,20,36,405,127,13,17,355,104,21,33,299,75,13,5,293,81,17,256,81,12,290,102,12,300,95,33,318,112,23,312,131,25,377
OV,Oakwood Village Library and Arts Centre,NL,235,44,67,593,203,15,50,466,151,13,57,392,144,27,16,384,119,19,371,163,17,426,183,28,393,170,30,400,195,36,388,179,21,337
PM,Palmerston,NL,136,45,144,851,114,24,114,768,99,18,129,570,169,36,24,604,146,35,632,162,31,623,129,24,612,124,22,608,206,32,691,148,40,666
