,,,2019,,,,,,,,,,,,2018,,,,,,,,,,,,2017,,,,,,,,,,,,2016,,,,,,,,,,,,2015,,,,,,,,,,,,2014,,,,,,,,,,,,2013,,,,,,,,,,2012,,,,,,,,,
,,,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,General,General,Class/Group,Class/Group,Literacy,Literacy,ESL,ESL,User Education,User Education,General,General,Class/Group,Class/Group,Literacy,Literacy,ESL,ESL,User Education,User Education
ID,Branches,Tier,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att
CE,Centennial,NL,200,2067,95,1278,498,8218,0,0,194,"5,403",13,81,296,3113,64,807,546,11058,,,169,"4,891",38,204,222,3370,148,2031,359,7453,,,90,"3,464",22,251,112,1743,182,1972,87,1089,121,1874,95,4203,1,14,94,1454,188,1875,150,2293,138,1616,83,4000,,,77,1196,217,2335,250,3667,,,116,4188,,,230,6289,32,1211,144,2022,182,2396,0,0,201,5072,31,1421,127,1471,188,2361,0,0
CH,City Hall,NL,32,905,0,0,11,388,0,0,214,"6,286",12,57,19,831,,,16,260,,,217,5450,11,52,16,603,,,6,182,,,160,"5,121",17,241,7,307,,,17,541,,,157,5228,1,12,7,355,,,9,278,,,114,3182,1,9,2,153,,,9,188,,,55,1330,,,40,985,13,237,0,0,0,0,0,0,27,587,7,114,0,0,0,0,0,0
CC,Cliffcrest,NL,141,1521,0,0,34,926,0,0,69,"1,036",0,0,113,"1,157",,,36,1200,,,62,542,10,51,80,863,,,11,160,,,105,"1,560",18,263,77,1559,,,9,276,,,117,2006,,,87,1620,,,6,140,,,136,2305,1,11,86,1675,,,6,74,,,129,2174,1,10,187,2712,22,597,0,0,0,0,1,7,203,3168,13,226,0,0,0,0,1,11
CS,College/Shaw,NL,51,984,32,253,45,988,0,0,99,"1,965",7,122,111,"2,055",35,207,42,979,,,104,"2,177",9,130,150,"2,191",40,150,20,346,,,208,"4,641",19,183,61,1001,40,195,11,202,,,105,1854,3,55,14,592,,,41,850,,,33,574,1,25,19,1018,5,23,25,240,,,57,1168,,,68,1737,19,663,1,1,2,48,0,0,36,1315,28,745,15,41,10,141,0,0
DA,Danforth/Coxwell,NL,78,1909,85,612,93,1894,0,0,129,"4,118",19,152,62,1687,88,959,46,1134,,,121,"4,126",1,55,99,3343,85,689,79,1546,,,174,"5,048",33,899,72,2147,96,905,56,1021,,,191,5349,14,125,56,1569,92,997,90,2551,,,157,5014,2,110,63,2086,87,573,52,1419,,,127,4539,2,19,140,3886,80,3271,0,0,80,646,0,0,135,3803,46,1124,0,0,89,920,1,2
DT,Davenport,NL,12,290,0,0,5,33,12,366,79,"1,582",12,65,12,267,,,17,379,12,349,61,"1,215",11,47,10,255,,,5,69,12,307,72,"1,362",8,55,17,603,,,9,192,12,240,64,1229,3,9,12,501,,,28,661,12,247,64,1518,3,6,10,251,,,5,112,12,253,65,1344,,,28,585,56,1111,12,351,0,0,0,0,39,793,49,1046,11,262,0,0,0,0
DR,Dawes Road,NL,116,"1,769",44,2496,53,"1,562",12,222,135,"1,718",16,61,98,"1,634",45,2111,45,964,12,308,141,"2,331",25,136,84,"1,586",44,2284,33,461,12,350,145,"2,435",14,83,97,1601,38,1936,14,232,12,298,138,2423,3,27,25,759,30,1564,37,723,12,137,84,1267,13,282,29,680,36,1783,15,165,10,135,106,2206,,,84,1300,68,1535,9,170,39,2186,7,14,89,1730,58,1298,9,309,29,1814,17,91
DP,Deer Park,NL,86,"2,213",0,0,64,"1,458",0,0,177,"3,726",40,364,85,"2,452",2,3,64,"1,697",,,178,"3,548",18,253,80,"2,381",,,19,846,,,133,"2,802",1,29,78,3154,,,42,1381,,,138,3170,17,157,40,2009,,,25,1141,,,132,3161,,,30,1401,,,10,349,3,36,130,2906,1,6,117,3691,33,848,0,0,0,0,0,0,137,4232,17,394,0,0,3,10,0,0
DM,Don Mills,DL,74,"2,102",0,0,167,"4,644",0,0,203,4410,54,264,115,"2,711",,,227,"5,645",,,197,"4,746",100,679,191,"4,484",,,135,3254,4,41,222,"6,705",112,909,121,2506,,,163,4788,,,253,6147,95,953,126,2525,,,131,4178,,,172,4885,33,235,68,2108,3,94,147,3917,,,126,3961,8,87,164,5557,87,3155,12,317,5,172,28,99,177,5954,74,3411,11,275,4,58,47,150
DO,Downsview,NL,79,"2,445",66,3803,222,5632,8,257,102,"2,911",213,1700,164,"2,473",80,8277,231,7018,11,286,115,"2,278",341,2594,175,"2,370",91,11969,26,530,12,349,107,"2,411",226,1779,199,2617,80,12102,50,936,12,498,123,2948,66,864,207,2610,66,11792,49,948,11,546,249,4743,75,905,261,4236,78,12949,42,1303,10,603,131,3491,40,410,236,6539,68,3138,25,2062,140,13962,56,332,261,7154,44,3436,6,422,109,15517,53,159
DU,Dufferin/St. Clair,NL,85,"1,260",0,0,44,930,12,244,178,"5,839",18,155,88,"1,418",,,35,504,12,309,151,"5,803",13,187,52,"1,145",,,34,393,12,246,136,"5,123",4,58,46,988,,,38,439,10,118,170,5766,3,49,61,805,,,49,886,12,64,147,4236,10,152,42,878,,,44,686,11,97,148,3996,7,296,206,5522,22,533,11,162,0,0,0,0,155,3870,17,449,9,286,0,0,2,23
EA,Eatonville,NL,261,3387,3,16,143,3210,12,349,162,"4,731",20,173,239,"3,508",,,98,"1,705",10,376,272,"8,321",6,23,224,3000,19,64,82,1426,12,613,329,"9,548",6,105,187,2176,22,183,58,996,11,644,310,7975,6,68,200,2525,3,16,124,2984,11,663,214,4280,6,101,195,3118,23,181,119,2956,10,407,212,5309,33,79,226,4821,48,2283,11,434,0,0,0,0,253,5498,61,2946,12,619,0,0,0,0
ES,Eglinton Square,NL,46,954,0,0,30,473,0,0,130,"2,832",13,46,88,"1,619",,,60,1101,,,156,"3,218",13,96,33,928,,,19,340,,,112,"1,888",15,98,16,348,,,18,486,,,87,1283,7,10,43,969,,,37,635,,,155,2220,39,72,43,830,,,27,496,,,155,2410,48,83,166,2878,52,1145,0,0,0,0,40,93,169,2349,30,878,0,0,0,0,30,69
EB,Elmbrook Park,NL,110,1162,0,0,42,640,0,0,108,"1,407",0,0,93,"1,195",,,20,393,,,149,"1,746",,,98,"1,852",,,12,146,,,213,"3,160",19,193,74,801,,,11,112,,,268,4092,,,59,960,,,3,126,,,153,3384,,,11,191,,,2,64,3,67,128,2203,,,74,1129,28,1383,0,0,0,0,0,0,77,1150,63,1443,1,40,0,0,0,0
EG,Evelyn Gregory,NL,71,721,0,0,106,"1,716",11,23,131,"2,514",14,46,126,"1,487",,,66,"1,078",11,31,113,"1,491",11,104,97,"1,282",,,43,436,9,26,116,"1,912",27,330,123,1894,,,23,480,8,80,94,1728,3,6,62,1192,,,22,318,,,124,2767,3,40,64,1716,,,8,103,3,25,195,4202,1,6,103,2478,80,1780,11,117,0,0,0,0,91,1553,67,2157,7,118,0,0,5,15
FV,Fairview,DL,168,"4,032",259,6545,617,"14,584",22,1332,135,5437,136,1173,224,"6,178",237,6595,593,"14,385",20,1255,181,"6,304",118,984,252,"9,889",226,6785,434,12417,12,528,239,"7,376",171,1887,295,9321,236,6958,204,3927,12,527,209,6533,199,2095,265,6887,193,6626,350,6753,22,1702,231,6360,124,1260,140,5029,85,3458,194,3708,10,481,160,4548,55,1175,1,14,7,593,0,0,0,0,0,0,224,7765,9,317,7,1108,64,5563,16,314
FP,Flemingdon Park,NL,206,4733,59,452,344,"9,519",12,460,57,838,8,45,197,3596,81,651,197,"4,595",12,397,71,"2,099",16,160,105,2023,60,456,50,681,10,199,84,"3,614",17,127,52,1597,67,516,61,1007,10,294,44,777,,,102,2382,66,561,59,722,12,499,112,2103,4,70,130,2116,32,409,56,690,12,521,89,2355,1,3,229,4706,65,2898,25,466,34,334,2,36,145,2605,76,1480,55,1040,38,382,0,0
FH,Forest Hill,NL,47,648,0,0,69,1299,0,0,107,"4,322",46,196,45,542,,,122,"2,667",,,267,"8,472",32,115,63,702,,,37,1151,,,200,"6,900",,,41,568,,,12,194,,,147,4539,,,27,736,,,20,901,,,159,5015,3,137,10,316,,,20,384,,,138,4165,4,17,109,2962,16,347,0,0,0,0,0,0,117,3394,30,656,0,0,0,0,0,0
FO,Fort York,NL,109,1955,0,0,48,635,0,0,141,"5,420",177,1014,138,"2,507",,,44,"1,119",,,148,"6,079",140,1074,104,"1,482",,,25,216,1,4,154,"4,947",188,1884,80,1406,,,46,645,,,190,6448,154,1418,46,1282,,,46,571,,,205,6843,179,1970,41,1434,,,30,714,,,91,3426,98,1366,,,,,,,,,,,,,,,,,,,,
GE,Gerrard/Ashdale,NL,78,988,38,214,83,"1,522",10,82,114,"1,872",2,10,85,"1,077",40,325,48,"1,265",10,110,81,"1,103",16,208,138,"1,751",40,194,52,518,12,77,92,"1,874",25,408,146,1724,40,167,60,877,10,102,111,2469,18,186,121,1122,50,214,44,626,10,124,119,2877,6,28,120,1405,30,173,58,374,10,158,109,2387,3,26,253,3606,9,287,20,104,0,0,3,20,201,3455,25,1065,9,192,1,6,0,0
GHP,Goldhawk Park,NL,80,2308,133,6336,47,1395,0,0,292,8468,31,464,73,2380,128,5533,62,1528,,,232,"6,357",12,52,76,2734,138,4829,53,1342,,,239,"6,959",25,287,69,2382,153,4724,69,1351,,,224,7177,2,111,87,3535,150,5269,44,1040,,,161,6286,14,78,44,1648,155,5543,96,1348,16,735,120,3759,16,43,228,5535,27,957,0,0,133,5637,0,0,193,4457,32,1325,0,0,84,3800,0,0
GW,Guildwood,NL,4,198,0,0,1,42,0,0,48,914,23,127,11,366,,,24,411,,,93,"1,584",,,23,408,,,9,74,,,111,"1,897",,,21,541,,,18,225,,,89,1417,1,30,9,242,,,,,,,97,1482,5,11,12,437,,,7,120,,,81,1413,6,12,98,1565,11,402,1,8,0,0,0,0,69,1169,30,718,0,0,0,0,6,12
HP,High Park,NL,34,685,0,0,60,867,0,0,268,"7,430",19,115,35,1368,,,29,612,,,275,"8,304",1,12,21,446,,,17,326,,,244,"6,614",17,248,46,1383,,,6,187,,,205,6888,9,109,16,539,,,8,251,,,254,7678,,,14,586,,,3,33,,,229,5545,,,64,692,169,5555,0,0,0,0,1,1,64,684,146,4533,0,0,0,0,0,0
HC,Highland Creek,NL,24,591,0,0,81,"1,989",12,356,74,1628,10,25,27,697,,,94,"2,563",12,354,96,2493,6,20,62,"1,803",,,59,"1,669",12,258,71,2009,18,126,62,976,,,16,501,11,283,92,2541,1,30,46,1092,,,6,196,12,301,104,2851,4,18,23,1045,,,33,1076,11,340,137,4826,,,140,2716,78,1977,10,325,1,32,3,10,69,3366,62,2107,9,579,0,0,0,0
HIL,Hillcrest,NL,48,1174,0,0,80,2437,0,0,23,615,6,22,68,1454,,,50,1541,,,15,552,10,73,72,1566,,,59,"1,256",,,23,542,15,134,138,1352,,,101,1976,,,30,694,,,63,546,,,73,1292,,,34,767,5,82,9,288,33,322,23,525,,,43,998,,,54,1339,38,982,8,422,0,0,3,43,51,842,24,614,2,111,0,0,0,0
HB,Humber Bay,NL,34,302,0,0,42,539,0,0,58,612,12,66,56,610,,,26,554,,,55,607,6,22,43,490,,,41,1023,,,50,909,7,86,14,123,,,13,384,,,20,394,6,109,,,,,,,,,13,449,,,4,87,,,,,,,14,419,,,2,21,8,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,Humber Summit,NL,223,"1,277",0,0,151,3513,12,80,117,"2,877",36,141,262,"3,170",,,114,"3,309",10,62,202,"4,486",27,450,66,691,,,1,31,4,56,32,369,7,405,128,1260,,,11,330,12,120,52,822,,,60,764,,,52,1126,8,55,124,1368,41,486,27,892,,,42,2682,8,71,191,3714,6,10,78,5050,77,2980,24,93,15,280,3,3,52,4186,52,1817,8,320,13,268,0,0
HW,Humberwood,NL,143,2035,0,0,28,413,12,70,158,"3,833",20,224,159,"3,767",14,76,66,"1,387",10,96,148,"4,092",14,52,184,"5,007",35,323,28,226,12,144,170,"5,409",19,302,286,6430,41,269,26,301,12,218,165,4244,,,161,3696,36,212,91,1742,12,118,226,5307,,,245,7078,49,308,145,2946,10,132,255,5279,1,8,339,8042,194,4110,62,1006,3,10,0,0,238,5285,153,3239,80,1724,0,0,0,0
JD,Jane/Dundas,NL,44,972,0,0,98,"1,390",12,374,181,3612,0,0,54,"1,031",,,135,"2,518",12,277,265,"4,751",4,42,79,1184,,,42,651,12,358,316,"7,465",27,345,59,831,,,46,556,12,437,364,6820,10,72,51,1385,,,31,445,12,396,336,7109,2,49,61,1307,,,32,582,12,315,300,7334,4,84,243,5419,129,2905,12,335,0,0,0,0,248,5564,210,4764,6,202,1,32,0,0
JS,Jane/Sheppard,NL,107,"1,116",0,0,114,"2,677",12,107,65,740,40,237,107,"1,221",1,34,104,"2,169",12,146,82,"1,348",14,143,54,865,4,12,95,1116,12,150,64,"1,023",19,295,84,1400,,,108,1828,12,93,93,1562,16,176,107,1700,,,71,855,12,133,87,1554,1,50,85,1427,17,146,54,831,10,177,118,1850,14,24,258,3529,91,2550,23,99,79,804,31,31,145,2349,63,1272,11,499,30,314,2,4
JO,Jones,NL,127,"2,959",0,0,57,"1,703",0,0,120,3049,8,53,133,"3,028",,,32,"1,474",,,131,"3,758",13,74,150,"3,884",,,15,382,,,144,"4,214",28,688,158,4072,,,12,160,,,169,4744,3,56,123,2887,,,33,674,,,183,5142,5,34,83,1805,,,28,362,,,145,3795,3,7,136,3028,91,2841,0,0,0,0,1,1,138,3499,70,2271,0,0,0,0,0,0
KE,Kennedy/Eglinton,NL,61,"1,179",0,0,82,"2,058",0,0,77,886,6,41,122,"1,524",,,67,"1,437",,,122,"1,536",17,180,50,"1,172",,,51,763,,,101,"2,592",4,75,56,1235,,,62,1318,,,84,1787,22,262,73,1279,,,61,1028,,,116,2785,23,584,69,944,,,90,2469,,,104,2543,1,40,203,4074,77,2573,0,0,15,406,2,42,209,3512,46,1547,0,0,20,650,5,19
LE,Leaside,NL,112,"1,812",0,0,77,"2,745",0,0,128,"3,597",16,82,88,"1,261",,,56,"1,760",,,202,"4,853",15,81,129,"2,063",,,56,"1,524",,,216,"6,119",25,227,129,2250,,,98,2457,,,214,6336,7,84,72,968,,,59,2054,,,158,5327,3,35,22,639,,,70,2143,,,144,3788,2,16,302,6416,29,851,0,0,0,0,0,0,258,6134,49,991,0,0,0,0,2,37
LHS,Lillian H. Smith,DL,70,"1,206",0,0,230,"4,099",0,0,128,"2,249",106,527,123,"2,035",,,258,"4,488",,,222,"3,610",154,932,153,"2,539",14,141,151,"2,814",,,211,"3,329",104,723,127,2561,,,138,3494,,,246,4960,84,669,137,3056,4,54,141,2692,,,221,4644,31,498,50,1411,19,349,116,2487,,,213,4155,4,162,179,4539,118,2743,0,0,42,1117,28,80,223,5400,160,4028,0,0,37,984,48,428
