Total Workstation Users,,,,,,,,,,,,
PV,Pleasant View,NL,5480,5775,17593,22363,22488,22738,41325,25879,22788,25400
PU,Port Union,NL,13878,13400,12475,16613,16450,18088,16875,15438,15688,17238
QS,Queen Saulter,NL,8556,10086,10863,11850,11100,11150,11863,12243,13263,21763
RX,Rexdale,NL,10704,13869,17963,19550,20063,18875,18938,20822,19763,19613
RI,Richview,DL,10536,11519,82853,107685,113426,120461,118823,131921,118321,128481
RD,Riverdale,NL,71343,71177,71813,70700,73775,74888,73788,73429,72938,60079
RN,Runnymede,NL,44200,45729,38557,63363,65663,68213,67213,69640,69366,66046
SWS,S. Walter Stewart,DL,67083,68987,119109,114635,138960,137354,147925,129468,113952,105861
SA,Sanderson,NL,58495,64722,66513,62700,67425,66100,69388,67645,64850,55713
SC,Scarborough Civic Centre,NL,53178,52512,63474,52375,27325,0,,,,
SP,Spadina Road,NL,43849,45256,13775,13988,14813,13242,11245,11709,11075,13225
SI,St. Clair Silverthorn,NL,14116,15469,9487,13838,13925,14225,14225,15156,16900,16938
SJ,St. James Town,NL,1473,0,58200,56575,57375,65038,62200,64006,65100,63263
SL,St. Lawrence,NL,58962,51621,23888,23779,22051,25688,26075,23702,24713,23913
ST,Steeles,NL,27347,24264,31163,34700,34800,27963,37838,37604,35125,34238
SW,Swansea Memorial,NL,36129,14624,5525,2125,2600,2488,2575,2759,2863,2938
TA,Taylor Memorial,NL,2707,1443,13329,14738,18588,14925,15425,13881,13138,14975
TH,Thorncliffe,NL,8422,8594,71175,76875,79150,89775,88100,80657,85923,62394
TOD,Todmorden Room,NL,42950,50333,4375,4263,5438,6225,3300,2820,4275,2528
VV,Victoria Village,NL,3749,3450,12050,12638,12950,14638,13675,14772,14575,17363
WE,Weston,NL,390307,428446,37813,41188,46263,40363,37488,40117,42375,42713
WS,Woodside Square,NL,9070,9463,97263,101650,106963,104775,114088,105207,111213,115450
WP,Woodview Park,NL,26812,26060,23938,24763,21425,19200,16738,19629,23613,23200
WY,Wychwood,NL,72288,75752,36463,36875,37263,37747,43200,44020,41688,41125
YW,York Woods,DL,14657,13555,157821,172467,193860,185228,176806,172783,177575,165784
YO,Yorkville,NL,0,16140,29238,29425,32313,32850,32475,32464,32938,28977
TRL,Toronto Reference Library,RR,62065,93349,867212,917498,901258,776844,818494,727822,853050,815539
NYCL,North York Central,RR,21130,22390,0,433079,477283,496202,545403,484789,453951,464271
SH,Sunnybrook Hospital,CWS,546,631,463,550,475,400,538,631,650,488
,Grand Total,,3987543,4281407,5715226,6467294,6692409,6537260,6465726,6138170,6380037,5993062
