Total Collection Size,,,,,,,,,,
ID,Branch Name,Tier,2019,2018,2017,2016,2015,2014,2013,2012
PM,Palmerston,NL,"31,102","31,077",32059,33660,33790,33551,"34,985","35,669"
PA,Pape Danforth,DL ,"56,410","56,432",57716,56772,55022,57394,"60,770","66,381"
PK,Parkdale,NL,"69,233","68,838",72343,69830,71277,73616,"73,343","74,796"
PL,Parliament Street,NL,"52,370","54,746",53108,52298,55797,58895,"59,987","61,239"
PE,Perth Dupont,NL,"18,568","18,628",17374,18056,18063,18976,"20,507","22,213"
PV,Pleasant View,NL,"32,366","33,043",33745,31815,31672,31030,"40,180","39,151"
PU,Port Union,NL,"36,927","35,500",34654,35455,34883,35979,"37,371","38,194"
QS,Queen Saulter,NL,"21,342","21,482",21435,21817,21570,21619,"21,130","23,369"
RX,Rexdale,NL,"26,465","26,957",27935,28675,30512,30180,"30,136","30,141"
RI,Richview,DL ,"133,969","131,304",141258,140093,147766,156662,"157,100","164,186"
RD,Riverdale,NL,"51,823","54,102",55453,54360,55520,58419,"59,863","62,379"
RN,Runnymede,NL,"53,362","53,200",51898,52513,53370,58286,"63,952","63,156"
SWS,S. Walter Stewart,DL ,"99,393","99,247",94934,96431,94832,96127,"101,516","100,833"
SA,Sanderson,NL,"46,400","46,182",47012,45820,46400,49387,"54,081","59,274"
SC,Scarborough Civic Centre,NL,"57,141","59,023",57086,54730,48170,28527,"13,019",117
SP,Spadina Road,NL,"29,994","30,675",29911,29931,30448,32751,"35,068","38,585"
SI,St. Clair Silverthorn,NL,"9,430","14,355",13875,14376,15093,15452,"16,008","16,548"
SJ,St. James Town,NL,"46,629","50,696",51860,49379,50673,52878,"56,460","60,281"
SL,St. Lawrence,NL,"30,009","29,659",29193,28119,28559,28597,"27,074","26,308"
ST,Steeles,NL,"46,066","42,131",42098,40842,44009,44344,"44,494","44,903"
SW,Swansea Memorial,NL,"8,463","8,027",7894,9027,9049,9019,"9,544","8,560"
TA,Taylor Memorial,NL,"26,883","26,505",27467,27310,28404,27998,"30,705","30,263"
TH,Thorncliffe,NL,"49,576","49,561",48042,47346,46652,46444,"46,918","47,047"
TOD,Todmorden Room,NL,"7,401","7,109",8318,8213,8132,7844,"8,621","9,011"
TRL,Toronto Reference Library,RR,1820820,1847680,1862614,1884833,1832663,1800806,"1,776,335",1756841
VV,Victoria Village,NL,"25,280","24,901",26570,25712,27319,27180,"28,189","29,942"
WE,Weston,NL,"42,203","40,542",42655,42492,42815,43909,"45,020","43,007"
WS,Woodside Square,NL,"53,877","56,425",56950,54856,56072,56896,"60,276","61,808"
WP,Woodview Park,NL,"20,529","20,256",19090,19824,19377,20889,"21,303","21,119"
WY,Wychwood,NL,"31,881","30,444",37225,38844,39114,39892,"42,644","42,240"
YW,York Woods,DL,"80,761","102,380",100499,104932,105938,105126,"101,758","99,585"
YO,Yorkville,NL,"54,921","55,660",56219,55269,54247,63434,"61,815","62,679"
