Total Programs,,,,,,,,,,,,,,,,,,,,,,
,,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,,2010,
ID,Branches,Tier,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance
HS,Humber Summit,NL,539,"7,888",615,"11,477",110,"1,552",203,2532,285,3799,274,7369,197,8406,125,6591,150,9346,150,7678
HW,Humberwood,NL,361,"6,575",411,"9,470",448,"11,411",530,11462,526,11075,705,15751,598,13168,471,10248,532,11071,589,11644
JD,Jane/Dundas,NL,335,"6,348",470,"8,619",476,"10,003",491,8716,432,9384,409,9622,384,8659,465,10562,467,10502,539,12036
JS,Jane/Sheppard,NL,338,"4,877",320,"5,061",248,"3,461",313,5059,278,4292,298,4455,482,7013,251,4438,222,4652,146,3154
JO,Jones,NL,312,"7,764",309,"8,334",337,"9,168",342,9032,344,8737,259,5969,228,5870,208,5770,292,7623,151,3112
KE,Kennedy/Eglinton,NL,226,"4,164",328,"4,677",206,"4,602",224,4602,273,5676,264,5996,297,7095,280,5728,366,7630,229,6664
LE,Leaside,NL,333,"8,236",361,"7,955",426,"9,933",448,11127,292,8384,238,6586,331,7267,309,7162,258,6546,260,6821
LHS,Lillian H. Smith,DL,534,"8,081",757,"11,065",633,"9,546",595,11684,534,10944,402,8564,367,8479,468,10840,451,10859,507,10639
LO,Locke,NL,343,"9,905",326,"10,164",408,"11,282",368,10483,338,10051,327,9682,310,9789,312,9535,367,11873,320,9621
LB,Long Branch,NL,216,"4,580",207,"4,311",176,"3,026",191,4029,164,3528,212,4692,181,4260,182,4686,225,4732,214,4946
MA,Main Street,NL,371,"7,544",372,"8,202",369,"8,836",351,7598,209,4409,229,4382,499,4180,174,3827,199,4115,191,5369
MAL,Malvern,DL,"1,491","25,578","1,568","28,332",1392,"26,049",1065,21816,882,25026,991,20017,992,19289,658,16226,640,17456,481,13801
MAS,Maria A. Shchuka,DL,1051,"20,062",1204,"22,410",999,"21,103",875,18576,700,14619,802,16781,655,16671,619,16267,589,18190,580,19510
MRV,Maryvale,NL,183,"2,941",254,"4,097",226,"3,388",160,2753,151,2865,131,2648,142,3402,141,3179,169,3327,211,3759
MCG,McGregor Park,NL,236,"4,922",275,"4,938",318,"6,449",244,4400,389,8806,403,9214,353,9148,296,7690,317,6788,244,6281
MI,Mimico Centennial,NL,199,"4,508",329,"5,254",403,"7,469",359,6257,359,8633,317,8827,342,8390,224,8339,350,11075,476,10056
MS,Morningside,NL,285,"4,696",260,"4,800",278,"4,468",259,5733,218,4163,232,4209,225,3838,176,2839,212,3667,246,4636
MD,Mount Dennis,NL,256,"4,820",251,"4,892",289,"5,012",292,6069,284,5278,376,6850,308,6711,0,0,239,5287,431,9438
MP,Mount Pleasant,NL,246,"6,280",232,"6,688",173,"4,797",139,4101,98,1884,87,2938,109,3531,149,2846,193,3891,262,5929
NT,New Toronto,NL,135,"2,265",139,"2,343",204,"3,811",180,3972,194,4193,87,2649,129,2704,120,3234,137,3370,140,3435
ND,Northern District,DL,689,"15,633",674,"17,791",574,"15,468",511,12183,482,10860,343,9054,304,9527,291,10140,229,7920,151,6423
NE,Northern Elms,NL,246,"1,993",242,"2,508",150,"1,042",164,1751,183,2275,129,1091,158,1565,106,1514,109,1053,129,1692
OV,Oakwood Village Library and Arts Centre,NL,332,"9,489",388,"10,292",420,"9,462",481,8584,468,8070,453,8969,437,10128,348,6524,245,4954,233,4769
PM,Palmerston,NL,253,"4,675",207,"4,258",221,"5,582",262,6861,244,5630,177,5003,153,4176,237,6600,221,6038,152,4230
PA,Pape/Danforth,DL,500,"7,779",427,"6,182",541,"10,848",588,11473,496,9752,459,9609,409,10000,343,8614,431,10382,396,9482
PK,Parkdale,NL,314,"8,081",621,"15,127",593,"19,670",619,24139,626,21591,629,14515,693,16969,670,16923,682,17877,706,16617
PL,Parliament Street,NL,352,"4,629",449,"5,545",509,"8,165",500,7912,505,8140,481,7875,483,8256,408,7051,481,7641,499,8794
PE,Perth/Dupont,NL,340,"6,029",383,"6,411",234,"4,116",189,3708,274,6221,267,6198,193,5220,202,5725,233,6147,173,4398
PV,Pleasant View,NL,355,"7,535",549,"10,752",535,"13,941",415,10954,231,4632,157,4735,229,7920,157,5705,138,4615,99,3247
PU,Port Union,NL,228,"3,769",238,"4,279",232,"4,253",242,4584,251,4471,248,4108,259,3744,187,3887,172,3277,111,2206
QS,Queen/Saulter,NL,335,"8,900",447,"11,321",493,"11,625",456,11070,460,10818,430,9555,351,8752,326,7298,206,5280,147,2753
