Total Circulation,,,,,,,,,,
ID,Branch Name,Tier,2019,2018,2017,2016,2015,2014,2013,2012
SA,Sanderson,NL,171106,"178,416",193422,212780,235400,264573,292200,311553
SC,Scarborough Civic Centre,NL,172072,"172,722",179314,179190,149189,,,
SP,Spadina Road,NL,172880,"173,509",176028,187784,180851,161094,178496,196119
SI,St. Clair Silverthorn,NL,14047,"4,239",50583,57530,58560,58719,61402,65465
SJ,St. James Town,NL,248646,"221,964",223251,253579,258692,281753,297168,301031
SL,St. Lawrence,NL,220519,"216,375",215415,221478,192194,219081,219240,200598
ST,Steeles,NL,198868,"114,108",238620,256926,267333,225130,323144,338021
SW,Swansea Memorial,NL,41280,"40,102",68141,43082,46684,44895,44401,45368
TA,Taylor Memorial,NL,103046,"104,908",94731,115914,127191,133291,137367,130971
TH,Thorncliffe,NL,138280,"152,062",168175,178515,192845,204845,231256,231899
TOD,Todmorden Room,NL,55877,"47,739",51952,53254,59787,56161,57785,55391
VV,Victoria Village,NL,87183,"87,550",99426,107811,106014,104944,117074,117945
WE,Weston,NL,108961,"116,159",128443,135040,135560,137135,148627,185500
WS,Woodside Square,NL,290873,"312,597",340490,387621,412778,457886,520729,542341
WP,Woodview Park,NL,60941,"71,530",67938,69884,77281,79759,87524,90311
WY,Wychwood,NL,14190,"115,280",232975,242999,235971,208312,239247,243739
YW,York Woods,DL,134944,"181,002",199765,222393,246340,290231,306947,338157
YO,Yorkville,NL,251808,"255,993",286724,302099,319571,324428,325299,327149
TRL,Toronto Reference Library,RR,375830,"394,068",404937,420859,412943,386528,372810,355367
MC,Merril Collection,RR,2,5,14,2,0,0,4,23
OC,Osborne Collection,RR,153,68,29,12,43,16,10,2
IL,Interloan,RR,3887,"4,902",4286,4905,4787,4213,4213,5076
AL,Answerline,RR,48219,"48,323",42926,45026,47397,54289,56496,54585
NYCL,North York Central Library,RR,995148,"764,881",597896,1322318,1571479,1612696,1735943,1703346
BO,Bookmobile One,CWS,34614,"34,532",38740,45472,51277,61331,60626,67865
BT,Bookmobile Two,CWS,21799,"25,881",26421,29359,33699,42389,71551,70889
HLS,Home Library Service,CWS,292397,"337,801",368257,413186,400065,385227,411437,384444
ALD,Adult Literacy Department,CWS,1369,"1,783",1401,2175,3325,3195,2353,2170
SH,Sunnybrook Hospital,CWS,32196,"35,882",38302,39733,44305,42559,43349,46924
APS,Automated Phone System,RA,237203,"298,981",328450,402033,438145,470944,520478,570890
ET,eTitles,RA,8075177,"7,001,209",5639413,5024490,4395657,3488252,2105515,1073340
DS,Departmental Staff,OT,14026,"12,948",8291,7452,6934,5910,6068,10226
,Grand Total,,30662033,"30,555,570",30098890,31910577,32505963,32034795,32145021,32032036
